,Record ID,Store Name,Store Type,Street Number,Street Name,Additional Address,City,State,Zip Code,Zip4,County,Latitude,Longitude,Authorization Date,End Date,enter,exit,enter_exit
582492,1456003,147 Go Natural Deli Inc  ,Convenience Store,147,Washington Ave,,Endicott,NY,13760,5353,BROOME,42.10083,-76.04781,2021-07-06,,0,0,0
582493,1323287,607 Deli & Vape Inc  ,Convenience Store,52,Glenwood Ave, ,Binghamton,NY,13905,2506,BROOME,42.11147,-75.93858,2018-06-21,2019-09-23,1,1,1
582494,1439891,786 Punjab Halal Meat And Grocery  ,Small Grocery Store,104,Main Street, ,Binghamton,NY,13905, ,BROOME,42.101,-75.92582,2021-04-01,,1,0,0
582495,1460097,A-1 Grocery & Halal Meat  ,Medium Grocery Store,146,Main St,,Binghamton,NY,13905,2743,BROOME,42.10276,-75.92873,2021-10-04,,0,0,0
582496,745106,A-1 HALAL MEAT AND GROCERIES  ,Medium Grocery Store,59,MAIN STREET, ,BINGHAMTON,NY,13905, ,BROOME,42.09943,-75.92094,2005-03-08,2021-09-16,0,0,0
582498,1388211,Aarav Petroleum Corp-Windsor Country Market-Citgo  ,Convenience Store,225,Main St,,Windsor,NY,13865,4134,BROOME,42.08455,-75.64198,2020-01-28,,1,0,0
582499,1310035,Abe's Tobacco & Deli Inc.  ,Small Grocery Store,56,Henry St, ,Binghamton,NY,13901,3040,BROOME,42.10075,-75.90997,2018-01-16,,1,0,0
582500,1353860,Ackley Deli Inc  ,Convenience Store,274,Floral Ave, ,Johnson City,NY,13790,2545,BROOME,42.10742,-75.9601,2019-03-19,2020-06-11,1,1,1
582503,1192646,"Acquisto Discount Groceries, Llc  ",Medium Grocery Store,608,Upper Court St, ,Binghamton,NY,13904,2702,BROOME,42.10443,-75.85332,2015-04-29,2017-07-02,0,1,0
582506,1059913,Alaska Quick Mart Inc  ,Convenience Store,254,Chenango St, ,Binghamton,NY,13901,2302,BROOME,42.10608,-75.90564,2012-06-12,2021-06-08,0,1,0
582507,1059913,Alaska Quick Mart Inc  ,Convenience Store,254,Chenango St, ,Binghamton,NY,13901,2302,BROOME,42.10608,-75.90564,2021-08-09,,0,0,0
582508,867092,Aldi 49,Supermarket,1149,Upper Front St, ,Binghamton,NY,13905, ,BROOME,42.15066,-75.89892,2008-09-23,,0,0,0
582509,1022900,Aldi 50,Supermarket,134,Vestal Pkwy W, ,Vestal,NY,13850,1529,BROOME,42.0858,-76.05545,2011-09-08,,0,0,0
